,Rooms,Type,Price,Method,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
0,2,0,1480000.0,1,2.5,3067.0,2.0,1.0,1.0,202.0,151.96764988779805,1964.6842169408897,31,-37.7996,144.9984,2,4019.0
1,2,0,1035000.0,1,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,31,-37.8079,144.9934,2,4019.0
2,3,0,1465000.0,3,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,31,-37.8093,144.9944,2,4019.0
3,3,0,850000.0,0,2.5,3067.0,3.0,2.0,1.0,94.0,151.96764988779805,1964.6842169408897,31,-37.7969,144.9969,2,4019.0
4,4,0,1600000.0,4,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,31,-37.8072,144.9941,2,4019.0
5,2,0,941000.0,1,2.5,3067.0,2.0,1.0,0.0,181.0,151.96764988779805,1964.6842169408897,31,-37.8041,144.9953,2,4019.0
6,3,0,1876000.0,1,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,31,-37.8024,144.9993,2,4019.0
7,2,0,1636000.0,1,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,31,-37.806,144.9954,2,4019.0
8,1,2,300000.0,1,2.5,3067.0,1.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,31,-37.8008,144.9973,2,4019.0
9,2,0,1097000.0,1,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,31,-37.801,144.9989,2,4019.0
10,2,2,700000.0,4,2.5,3067.0,2.0,2.0,1.0,0.0,151.96764988779805,1964.6842169408897,31,-37.811,145.0067,2,4019.0
11,3,0,1350000.0,4,2.5,3067.0,3.0,2.0,2.0,214.0,190.0,2005.0,31,-37.8085,144.9964,2,4019.0
12,2,2,750000.0,1,2.5,3067.0,2.0,2.0,1.0,0.0,94.0,2009.0,31,-37.8078,144.9965,2,4019.0
13,2,0,1172500.0,1,2.5,3067.0,2.0,1.0,1.0,195.0,151.96764988779805,1964.6842169408897,31,-37.8084,144.9973,2,4019.0
14,1,2,441000.0,3,2.5,3067.0,1.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,31,-37.8016,144.9988,2,4019.0
15,2,0,1310000.0,1,2.5,3067.0,2.0,1.0,2.0,238.0,97.0,1890.0,31,-37.809,144.9976,2,4019.0
16,3,0,1200000.0,1,2.5,3067.0,3.0,2.0,1.0,113.0,110.0,1880.0,31,-37.8056,144.993,2,4019.0
17,3,0,1176500.0,1,2.5,3067.0,2.0,1.0,1.0,138.0,105.0,1890.0,31,-37.8021,144.9965,2,4019.0
18,3,0,955000.0,1,2.5,3067.0,3.0,1.0,0.0,183.0,151.96764988779805,1964.6842169408897,31,-37.8022,144.9975,2,4019.0
19,2,0,890000.0,1,2.5,3067.0,2.0,1.0,1.0,150.0,73.0,1985.0,31,-37.8011,145.0004,2,4019.0
20,4,0,1330000.0,0,2.5,3067.0,4.0,2.0,2.0,780.0,135.0,1900.0,31,-37.8073,144.9952,2,4019.0
21,3,1,900000.0,1,2.5,3067.0,3.0,2.0,2.0,0.0,151.96764988779805,2010.0,31,-37.8093,144.9959,2,4019.0
22,3,2,1090000.0,1,2.5,3067.0,3.0,2.0,2.0,4290.0,27.0,1964.6842169408897,31,-37.8078,144.9965,2,4019.0
23,2,2,500000.0,1,2.5,3067.0,2.0,1.0,1.0,0.0,60.0,1970.0,31,-37.8015,144.9972,2,4019.0
24,2,0,1100000.0,0,2.5,3067.0,2.0,2.0,1.0,124.0,135.0,2013.0,31,-37.8079,144.9977,2,4019.0
25,2,0,1315000.0,1,2.5,3067.0,2.0,1.0,0.0,147.0,85.0,1900.0,31,-37.808,144.994,2,4019.0
26,1,2,426000.0,3,2.5,3067.0,1.0,1.0,1.0,0.0,151.96764988779805,1964.6842169408897,31,-37.8016,144.9988,2,4019.0
27,3,0,1447500.0,0,2.5,3067.0,3.0,3.0,1.0,166.0,174.0,2012.0,31,-37.8017,145.0001,2,4019.0
28,1,2,457000.0,1,2.5,3067.0,1.0,1.0,1.0,0.0,50.0,1964.6842169408897,31,-37.8078,144.9965,2,4019.0
29,2,0,1135000.0,1,2.5,3067.0,2.0,2.0,2.0,98.0,128.0,1920.0,31,-37.8005,144.9952,2,4019.0
30,4,0,1542000.0,1,2.5,3067.0,4.0,3.0,1.0,0.0,151.96764988779805,1964.6842169408897,31,-37.7994,144.9965,2,4019.0
